Keyword,Seller_Name,Card_Title,Card_URL,Price_CNY,End_Time,Scrape_Time,Is_Bid
topps 狂热,哆啦叮当JoJo (273),【可合并，不累计】2024 Topps Topps Lorenzo Pellegrini 罗马 意大利 佩尔格里尼 巴西狂热折射特卡 划痕 边角瑕疵,https://www.cardhobby.com.cn/market/item/122666955,1.0,05小时 12分,1783913152,否
topps 狂热,云云云云云云天 (878),2024 Topps FC Barcelona Robert Lewandowski 巴萨 巴塞罗那 莱万多夫斯基 Fanatic Fans 狂热特卡 实卡精美 收藏必备 卡品如图【星爷代拍】G2-3,https://www.cardhobby.com.cn/market/item/122774751,1.0,05小时 49分,1783913152,否
topps 狂热,云云云云云云天 (878),2024 Topps FC Bayern Jamal Musiala 拜仁慕尼黑 穆夏拉 Fanatic Fans 狂热特卡 实卡精美 收藏必备 卡品如图【星爷代拍】G2-3,https://www.cardhobby.com.cn/market/item/122772188,1.0,06小时 47分,1783913152,否
topps 狂热,真是过来看看 (597),2026 Topps Pixar buzz lightyear 迪士尼 皮克斯 巴斯光年 dj 鼻涕虫 翠丝 4张漫画狂热特卡 一图打包 收藏凑套专收 不保证卡品 介意勿拍,https://www.cardhobby.com.cn/market/item/122269701,1.0,08小时 33分,1783913152,否
topps 狂热,大彪代拍 (30718),2025 Topps Chrome Victor Wembanyama 【大彪代拍】马刺 文班亚马 状元 外星人 联盟一阵 Fanatical 狂热特卡 大比例 SSP 银折 折射 微瑕 B 徐同学,https://www.cardhobby.com.cn/market/item/122054133,625.0,08小时 35分,1783913152,否
topps 狂热,大彪代拍 (30718),2025 Topps Chrome Kon Knueppel RC 【大彪代拍】黄蜂 新秀 康 克努佩尔 康神 Fanatical 狂热特卡 大比例 SSP 银折 折射 潜力新秀 微瑕 B 徐同学,https://www.cardhobby.com.cn/market/item/122054238,691.0,08小时 36分,1783913152,否
topps 狂热,大彪代拍 (30718),2025 Topps Chrome Trae Young 【大彪代拍】老鹰 特雷杨 吹杨 纽约市长 Fanatical 狂热特卡 大比例 SSP 银折 折射 微瑕 B 徐同学,https://www.cardhobby.com.cn/market/item/122054326,81.0,08小时 36分,1783913152,否
topps 狂热,欧小橙拍卖 (125233),2026 【欧小橙急速拍】 Topps Finest Gareth Bale 欧战TF 加雷斯 贝尔 亨里克 姆希塔良 保罗 加斯科因 银折 折射 典范球员 90年代狂热特卡等 9张打包聂-V9499,https://www.cardhobby.com.cn/market/item/122386340,3.0,09小时 17分,1783913152,否
topps 狂热,天秤座代卖 (11699),【天秤座代卖预付85％】2025-26 Topps Chrome 独行侠 Kyrie Irving 凯里 欧文 Fanatical 狂热 特卡 银折 大比例 ssp 卡品如图 收藏必备※今天,https://www.cardhobby.com.cn/market/item/121707018,143.0,09小时 29分,1783913152,否
topps 狂热,扒卡BAKA拍卖 (87639),【扒卡拍卖 拍前请看描述】2025-26 Topps Chrome Dylan Harper TC 元年 迪伦 哈珀 马刺 新秀 RC 特卡 大比例 狂热粉丝 Fanatical 银折 折射 瑕疵如图 走走0715BK02,https://www.cardhobby.com.cn/market/item/122266239,503.0,09小时 31分,1783913152,否
topps 狂热,那一抹红黑色 (3741),2026 Topps Marvel (MCU) Red Goblin 「墨色拍卖」漫威Chrome Cosmic 红魔 Fanfare 粉丝狂热 特卡 银折 卡品如图 BCMA,https://www.cardhobby.com.cn/market/item/122201177,1.0,10小时 01分,1783913152,否
topps 狂热,那一抹红黑色 (3741),2026 Topps Marvel (MCU) Clea 「墨色拍卖」漫威Chrome Cosmic 克丽 奇异博士伴侣 Fanfare 粉丝狂热 特卡 银折 卡品如图 BCMA,https://www.cardhobby.com.cn/market/item/122200948,1.0,10小时 01分,1783913152,否
